,FIELD_NAME,DEGFIELD,YEAR,undergrad,median_wage,count,unemployment_rate
0,Agriculture,11.0,2009,False,60000.0,2125,0.021964612568639415
1,Agriculture,11.0,2009,True,43000.0,5643,0.029175946547884187
2,Agriculture,11.0,2010,False,60000.0,2159,0.027594481103779243
3,Agriculture,11.0,2010,True,41700.0,5773,0.040368582711715666
4,Agriculture,11.0,2011,False,60000.0,2172,0.023558586484810913
5,Agriculture,11.0,2011,True,44000.0,5722,0.027075408368762585
6,Agriculture,11.0,2012,False,60000.0,2217,0.01931200965600483
7,Agriculture,11.0,2012,True,45000.0,5803,0.02631578947368421
8,Agriculture,11.0,2013,False,60000.0,2264,0.01817116060961313
9,Agriculture,11.0,2013,True,45000.0,5989,0.026577355229040624
10,Agriculture,11.0,2014,False,65500.0,2306,0.0156794425087108
11,Agriculture,11.0,2014,True,45000.0,5940,0.022707034728406055
12,Agriculture,11.0,2015,False,68000.0,2349,0.01917489831493318
13,Agriculture,11.0,2015,True,48000.0,6459,0.023872142423629374
14,Agriculture,11.0,2016,False,66000.0,2432,0.019704433497536946
15,Agriculture,11.0,2016,True,48000.0,6331,0.01749271137026239
16,Agriculture,11.0,2017,False,70000.0,2528,0.01352082206598161
17,Agriculture,11.0,2017,True,48000.0,6515,0.02172601086300543
18,Agriculture,11.0,2018,False,70000.0,2610,0.012182203389830509
19,Agriculture,11.0,2018,True,48000.0,6773,0.013709361535448493
20,Agriculture,11.0,2019,False,75000.0,2649,0.0187207488299532
21,Agriculture,11.0,2019,True,50000.0,7251,0.01571350264936963
22,Agriculture,11.0,2020,False,70000.0,2337,0.025149700598802394
23,Agriculture,11.0,2020,True,50000.0,6351,0.02312751962656482
24,Agriculture,11.0,2021,False,76000.0,2678,0.02181818181818182
25,Agriculture,11.0,2021,True,50000.0,7081,0.023703989207939872
26,Agriculture,11.0,2022,False,78000.0,3057,0.012126865671641791
27,Agriculture,11.0,2022,True,54000.0,7609,0.014355805924041431
28,Agriculture,11.0,2023,False,80000.0,3135,0.014433919711321606
29,Agriculture,11.0,2023,True,56000.0,7932,0.013722424874066354
30,Agriculture,11.0,2024,False,85000.0,3225,0.023076923076923078
31,Agriculture,11.0,2024,True,60000.0,8106,0.01684717208182912
32,Architecture,14.0,2009,False,65000.0,1446,0.08278145695364239
33,Architecture,14.0,2009,True,55500.0,2968,0.0846307385229541
34,Architecture,14.0,2010,False,65000.0,1528,0.08339952343129468
35,Architecture,14.0,2010,True,50000.0,2973,0.10585305105853052
36,Architecture,14.0,2011,False,60000.0,1550,0.06926070038910506
37,Architecture,14.0,2011,True,50000.0,2994,0.07838179519595449
38,Architecture,14.0,2012,False,60000.0,1629,0.047829286239882265
39,Architecture,14.0,2012,True,52000.0,2939,0.05507372072853426
